id,sub_dist,Village,longitude,Latitude,B,POINT_X,POINT_Y,DEM,slope_pc,DEM_accu,DEM_flength,DEM_curv,DEM_Plan_Curv,DEM_Prf_Curv,landuse,LST.jan1,LST.apr7,LST.jun26,LST.sep30,NDVI_JAN4,NDVI_Apr4,preciJan2019,preciApr2019,preciJun2019,preciSep2019
5271,Mavelikkara,Noornad,76.61508,9.190815,0.14,677448.3306,1016347.808,29,4.431428909,3,30.45487976,0.628401995,0,-0.628401995,15,29.92998695,34.12999725,27.35000038,28.29000282,0.794622302,0.523219824,0.002515152,0.148369715,0.485214263,0.510528028
5272,Mavelikkara,Noornad,76.61717,9.193705,0.08,677676.5749,1016668.478,21,11.89077187,2,25.22964859,0.628401995,0,-0.628401995,8,29.92998695,34.12999725,27.35000038,28.29000282,0.830262423,0.756838918,0.002515152,0.148369715,0.485214263,0.510528028
5273,Mavelikkara,Noornad,76.61616,9.186919,9.00E-04,677568.9614,1015917.443,34,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,15,30.24999428,33.84999847,27.12999916,28.68999672,0.650945902,0.286446214,0.002515152,0.148369715,0.485214263,0.510528028
5274,Mavelikkara,Noornad,76.61671,9.19134,0.06,677627.2018,1016406.68,25,5.605363369,5,48.29493713,-1.256803989,-0.628401995,0.628401995,15,29.92998695,34.12999725,27.35000038,28.29000282,0.434513271,0.504174709,0.002515152,0.148369715,0.485214263,0.510528028
5275,Mavelikkara,Noornad,76.63229,9.239952,0.07,679314.8725,1021790.991,17,0,0,0,0,0,0,15,30.05001259,35.6700058,24.67000771,27.52999306,0.752002537,0.442771077,0.002651908,0.141479075,0.438342303,0.482713521
5276,Mavelikkara,Noornad,76.62736,9.214128,0.16,678786.1605,1018932.351,16,7.00670433,0,0,0,0,0,3,30.40999794,34.51000214,26.79000282,28.45000648,0.73804158,0.428571433,0.002988193,0.141276911,0.43450287,0.472926676
5277,Mavelikkara,Noornad,76.6319,9.238838,0.06,679272.5817,1021667.585,18,3.963590622,2,25.22964859,0.628401995,0,-0.628401995,8,30.05001259,35.6700058,24.67000771,27.52999306,0.869900763,0.736716151,0.002651908,0.141479075,0.438342303,0.482713521
5279,Mavelikkara,Noornad,76.61539,9.195183,0.027,677480.2222,1016831.063,19,3.963590622,1,12.6148243,0.628401995,0,-0.628401995,8,29.92998695,34.12999725,27.35000038,28.29000282,0.81673938,0.720207274,0.002515152,0.148369715,0.485214263,0.510528028
5280,Mavelikkara,Noornad,76.63436,9.235963,0.13,679544.3517,1021350.842,18,7.927181244,2,25.22964859,0,0,0,3,30.30999184,35.70998383,23.45000648,27.90999794,0.614008963,0.54300791,0.002651908,0.141479075,0.438342303,0.482713521
5281,Mavelikkara,Noornad,76.63426,9.237901,0.0163,679532.3816,1021565.138,15,8.171151161,10,63.07411957,-1.885205984,-0.754082382,1.131123543,3,30.05001259,35.6700058,24.67000771,27.52999306,0.780135572,0.653908372,0.002651908,0.141479075,0.438342303,0.482713521
5282,Mavelikkara,Noornad,76.62194,9.19142,0.019,678201.9,1016418,13,0,36,396.2849,0,0,0,11,29.89000893,34.18999481,27.45000648,28.24999428,0.642041147,0.443620175,0.002515152,0.148369715,0.485214263,0.510528028
5283,Mavelikkara,Noornad,76.61973,9.200548,0.0027,677954.5,1017427,19,0,0,0,0,0,0,8,29.85000038,34.33000946,27.02999306,28.35000038,0.697386503,0.53694582,0.002515152,0.148369715,0.485214263,0.510528028
5284,Mavelikkara,Noornad,76.61902,9.190305,0.0109,677881.6,1016293,13,0,12,131.3735,0,0,0,11,29.92998695,34.12999725,27.35000038,28.29000282,0.865346551,0.743902445,0.002515152,0.148369715,0.485214263,0.510528028
5285,Mavelikkara,Noornad,76.63717,9.18456,0.0118,679879.1,1015667,26,1.401341,16,114.4299,0,0,0,15,30.17000771,34.2700119,27.40999794,28.33001137,0.751734793,0.4630225,0.002988193,0.141276911,0.43450287,0.472926676
5286,Mavelikkara,Noornad,76.62969,9.200116,0.0118,679049.3,1017384,18,7.927181,127,321.4924,-2.513608,-1.256804,1.256804,15,29.8699894,34.52999115,26.67000771,28.4699955,0.505617976,0.585732162,0.002988193,0.141276911,0.43450287,0.472926676
5288,Mavelikkara,Noornad,76.63495,9.24325,0.014,679605.5,1022157,16,3.963591,1,12.61482,0.628402,0,-0.628402,8,30.05001259,35.6700058,24.67000771,27.52999306,0.818706691,0.6112957,0.002651908,0.141479075,0.438342303,0.482713521
5289,Mavelikkara,Noornad,76.62275,9.192551,0.025,678290.4,1016544,19,5.052607,0,0,1.885206,1.256804,-0.628402,3,29.89000893,34.18999481,27.45000648,28.24999428,0.560170114,0.376315802,0.002515152,0.148369715,0.485214263,0.510528028
5293,Mavelikkara,Noornad,76.62517,9.20948,0.05,678547.8,1018417,28,1.401341,6,66.13499,0,0,0,8,30.12999916,34.24999237,26.14998817,28.45000648,0.750819683,0.527514696,0.002988193,0.141276911,0.43450287,0.472926676
5294,Mavelikkara,Noornad,76.63256,9.24118,0.012,679343.9,1021927,15,0,14,176.6075,0,0,0,3,30.05001259,35.6700058,24.67000771,27.52999306,0.611726403,0.47837764,0.002651908,0.141479075,0.438342303,0.482713521
5296,Mavelikkara,Noornad,76.63248,9.24067,0.08,679335.4,1021870,15,0,18,219.6772,0,0,0,1,30.05001259,35.6700058,24.67000771,27.52999306,0.857228577,0.608067572,0.002651908,0.141479075,0.438342303,0.482713521
5297,Mavelikkara,Noornad,76.63338,9.24027,0.075,679434.5,1021827,15,0,5,63.07412,0,0,0,15,30.05001259,35.6700058,24.67000771,27.52999306,0.655049145,0.574636698,0.002651908,0.141479075,0.438342303,0.482713521
